page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
100,1440,1080,16,1,1,"(311073742,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,446,1940,2512445760,8334749000000,6.666,66.0
101,1440,1080,16,1,1,"(314184476,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,447,1940,2579445760,8334816000000,6.733,67.0
102,1440,1080,16,1,1,"(317295210,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,448,1940,2646445760,8334883000000,6.8,67.0
103,1440,1080,16,1,1,"(320405944,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,449,1940,2712445760,8334949000000,6.866,66.0
104,1440,1080,16,1,1,"(323516678,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,450,1940,2779445760,8335016000000,6.933,67.0
105,1440,1080,16,1,1,"(326627412,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,451,1940,2846445760,8335083000000,7.0,67.0
106,1440,1080,16,1,1,"(329738146,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,452,1940,2912445760,8335149000000,7.066,66.0
107,1440,1080,16,1,1,"(332848880,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,453,1940,2979445760,8335216000000,7.133,67.0
108,1440,1080,16,1,1,"(335959614,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,454,1940,3046445760,8335283000000,7.2,67.0
109,1440,1080,16,1,1,"(339070348,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,455,1940,3112445760,8335349000000,7.266,66.0
110,1440,1080,16,1,1,"(342181082,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,456,1940,3179445760,8335416000000,7.333,67.0
111,1440,1080,16,1,1,"(345291816,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,457,1940,3246445760,8335483000000,7.4,67.0
112,1440,1080,16,1,1,"(348402550,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,458,1940,3312445760,8335549000000,7.466,66.0
113,1440,1080,16,1,1,"(351513284,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,459,1940,3379445760,8335616000000,7.533,67.0
114,1440,1080,16,1,1,"(354624018,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,460,1940,3446445760,8335683000000,7.6,67.0
115,1440,1080,16,1,1,"(357734752,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,461,1940,3512445760,8335749000000,7.666,66.0
116,1440,1080,16,1,1,"(360845486,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,462,1940,3579445760,8335816000000,7.733,67.0
117,1440,1080,16,1,1,"(363956220,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,463,1940,3646445760,8335883000000,7.8,67.0
118,1440,1080,16,1,1,"(367066954,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,464,1940,3712445760,8335949000000,7.866,66.0
119,1440,1080,16,1,1,"(370177688,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,465,1940,3779445760,8336016000000,7.933,67.0
120,1440,1080,16,1,1,"(373288422,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,466,1940,3846445760,8336083000000,8.0,67.0
121,1440,1080,16,1,1,"(376399156,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,467,1940,3912445760,8336149000000,8.066,66.0
122,1440,1080,16,1,1,"(379509890,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,468,1940,3979445760,8336216000000,8.133,67.0
123,1440,1080,16,1,1,"(382620624,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,469,1940,4046445760,8336283000000,8.2,67.0
124,1440,1080,16,1,1,"(385731358,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,470,1940,4112445760,8336349000000,8.266,66.0
125,1440,1080,16,1,1,"(388842092,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,471,1940,4179445760,8336416000000,8.333,67.0
126,1440,1080,16,1,1,"(391952826,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,472,1940,4246445760,8336483000000,8.4,67.0
