page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
111,1440,1080,16,1,1,"(345291816,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,112,1802,2894932608,7742426000000,7.472,67.0
112,1440,1080,16,1,1,"(348402550,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,113,1802,2960932608,7742492000000,7.538,66.0
113,1440,1080,16,1,1,"(351513284,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,114,1802,3027932608,7742559000000,7.605,67.0
114,1440,1080,16,1,1,"(354624018,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,115,1802,3094932608,7742626000000,7.672,67.0
115,1440,1080,16,1,1,"(357734752,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,116,1802,3160932608,7742692000000,7.738,66.0
116,1440,1080,16,1,1,"(360845486,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,117,1802,3227932608,7742759000000,7.805,67.0
117,1440,1080,16,1,1,"(363956220,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,118,1802,3294932608,7742826000000,7.872,67.0
118,1440,1080,16,1,1,"(367066954,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,119,1802,3360932608,7742892000000,7.938,66.0
119,1440,1080,16,1,1,"(370177688,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,120,1802,3427932608,7742959000000,8.005,67.0
120,1440,1080,16,1,1,"(373288422,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,121,1802,3494932608,7743026000000,8.072,67.0
121,1440,1080,16,1,1,"(376399156,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,122,1802,3560932608,7743092000000,8.138,66.0
122,1440,1080,16,1,1,"(379509890,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,123,1802,3627932608,7743159000000,8.205,67.0
123,1440,1080,16,1,1,"(382620624,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,124,1802,3694932608,7743226000000,8.272,67.0
124,1440,1080,16,1,1,"(385731358,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,125,1802,3760932608,7743292000000,8.338,66.0
125,1440,1080,16,1,1,"(388842092,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,126,1802,3827932608,7743359000000,8.405,67.0
126,1440,1080,16,1,1,"(391952826,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,127,1802,3894932608,7743426000000,8.472,67.0
127,1440,1080,16,1,1,"(395063560,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,128,1802,3960932608,7743492000000,8.538,66.0
